block,tx_hash,log_index,event,owner,tickLower,tickUpper,liquidity,amount0,amount1
19328110,0xeba8eb3e1d1d38db3ee411cebade97e50acc170ac28146d0da39d8542ac6cad5,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67830,67840,22401417855,376945,0
19329156,0x316372d4f6b2ca286dbb7869d871564dda9950e226cb549bb35b126c1b05c563,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63930,68930,161982001893,290907659,853223048660
19329910,0x7969524fb83e2806adc16ab256187a799feaa4fa9563a62adf4cbf9291c524fb,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67800,67810,22375853447,0,331910627
19330821,0x42d036b8851a5a9895239b67431864a23e668cdb6e686a2fddb8155b9f8e2ced,15,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67880,67890,22297383206,374258,0
19331709,0x6c2de0d92df9cee6660b8ce81276d6f9b7dd32917cea37a130039ac25609bf83,3,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67850,67860,22268862663,374340,0
19332614,0xb15e2b536f56ebda93d7b5f0f03b2925c6cd3d5d2af1a9aca2a524d1c132fe7c,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67820,67830,22235367278,374338,0
19333103,0x698edd8a1e81f7756eff546c55b4502185c8e74aa3b0077f5aadad873379a697,6,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63920,68920,161655985774,297072549,845262628743
19333510,0x3003a1dd212ce6f217256bf5050388f8f84c8274bea459154604593ceb4b8416,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67790,67800,22201922274,0,329166015
19334422,0x4a9ec089603941c1866378253b3564758cae2dee2a4ea4999899700ff5a093a1,2,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67800,67810,22195874353,374047,0
19335310,0x83789928eb3d9a0f4d6f38c5f2d345a36a3004ec5572131b3f701991e1c629d9,39,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67790,67800,22189645107,374129,0
19336821,0xfed0d8b56b18984147efe71d0981dacec62d78f43551c250e236b61f9c7ec9f0,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63930,68930,162051886908,361455014,792221982653
19337110,0x15a85488a55adc347e9987a9c1ea4f830dc9e389b57b2435eb8f88c7dc4a01ee,11,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67620,67630,22001724193,374127,0
19338910,0xe3741e85fa6dee04726d45d46f9e54e640ff2cdbbd2e6142475cf5aa2d47aa26,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67610,67620,21990609073,0,323112095
19339273,0xe98c8f1be1ad3a5e99d2cc0fe33f74f45644a74210b8eb9371dad5b85fcb9844,1,Burn,0x5977767ef6324864f170318681eccb82315f8761,67080,68220,72036546,71491,57210715
19340610,0xfc27501473f0bd4a772c82ceb6e38082beaf9c55bdeb4b31e11781a183402be7,3,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63950,68950,162979382166,355722274,803974141729
